Country,Year,Month,Calendar Day,Products ,Metro Cities,"Retail Selling Price (Rsp) Of Petrol And Diesel (UOM:INR/L(IndianRupeesperLitre)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-20,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-20,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-20,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-20,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-20,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-20,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-20,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-20,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-19,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-19,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-19,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-19,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-19,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-19,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-19,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-19,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-18,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-18,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-18,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-18,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-18,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-18,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-18,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-18,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-17,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-17,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-17,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-17,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-17,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-17,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-17,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-17,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-16,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-16,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-16,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-16,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-16,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-16,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-16,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-16,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-15,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-15,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-15,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-15,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-15,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-15,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-15,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-15,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-14,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-14,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-14,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-14,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-14,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-14,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-14,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-14,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-13,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-13,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-13,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-13,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-13,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-13,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-13,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-13,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-12,Petrol,Delhi,94.77
